symbol,direction,entry_time,close_time,holding_minutes,holding_hours,entry_price,close_price,pnl,close_reason,probability,quality_score
BTC/USDT:USDT,long,2026-01-27T20:53:44,2026-01-28T04:15:09,441.42,7.36,89379.6,88897.4,-0.54,Stop Loss достигнут (88934.74),92.0,33.0
BTC/USDT:USDT,long,2026-01-27T20:54:07,2026-01-28T04:15:06,440.98,7.35,89379.6,88906.6,-0.53,Stop Loss достигнут (88934.74),0.0,0.0
NCCOSILVER2USD/USDT:USDT,long,2026-01-27T22:18:09,2026-01-28T03:16:01,297.87,4.96,11219.5,11519.9,2.68,Take Profit достигнут (11487.92),92.0,26.0
NCCOSILVER2USD/USDT:USDT,long,2026-01-27T22:36:34,2026-01-28T03:15:59,279.42,4.66,11246.1,11519.9,2.68,Take Profit достигнут (11415.16),0.0,0.0
NCCOSILVER2USD/USDT:USDT,long,2026-01-28T00:34:02,2026-01-28T02:58:10,144.13,2.4,11246.1,11421.6,1.8,Take Profit достигнут (11415.16),0.0,0.0
NCCOSILVER2USD/USDT:USDT,long,2026-01-28T00:55:59,2026-01-28T02:58:09,122.17,2.04,11246.1,11418.8,1.78,Take Profit достигнут (11415.16),0.0,0.0
NCCOSILVER2USD/USDT:USDT,long,2026-01-28T01:13:14,2026-01-28T02:58:08,104.9,1.75,11246.1,11419.3,1.78,Take Profit достигнут (11415.16),0.0,0.0
NCCOSILVER2USD/USDT:USDT,long,2026-01-28T01:47:44,2026-01-28T02:58:06,70.37,1.17,11246.1,11418.4,1.78,Take Profit достигнут (11415.16),0.0,0.0
ZEC/USDT:USDT,long,2026-01-27T19:47:13,2026-01-28T02:51:14,424.02,7.07,396.55,391.94,-1.16,Stop Loss достигнут (394.13),92.0,17.0
XLM/USDT:USDT,long,2026-01-27T20:22:34,2026-01-28T02:51:13,388.65,6.48,0.20886,0.20744,-0.68,Stop Loss достигнут (0.21),92.0,6.0
ZEC/USDT:USDT,long,2026-01-27T20:23:54,2026-01-28T02:34:11,370.28,6.17,396.55,393.18,-0.85,Stop Loss достигнут (394.13),0.0,0.0
XLM/USDT:USDT,long,2026-01-27T20:22:59,2026-01-28T02:15:49,352.83,5.88,0.20886,0.20744,-0.68,Stop Loss достигнут (0.21),0.0,0.0
XLM/USDT:USDT,long,2026-01-27T20:23:01,2026-01-28T02:15:48,352.78,5.88,0.20896,0.20744,-0.68,Stop Loss достигнут (0.21),0.0,0.0
ZEC/USDT:USDT,long,2026-01-27T20:24:12,2026-01-28T02:15:45,351.55,5.86,397.2,394.82,-0.44,Stop Loss достигнут (395.34),0.0,0.0
ZEC/USDT:USDT,long,2026-01-27T20:30:54,2026-01-28T02:15:44,344.83,5.75,397.2,394.82,-0.44,Stop Loss достигнут (395.34),0.0,0.0
XLM/USDT:USDT,long,2026-01-27T20:29:56,2026-01-28T01:48:06,318.17,5.3,0.20896,0.20786,-0.48,Stop Loss достигнут (0.21),0.0,0.0
XLM/USDT:USDT,long,2026-01-27T20:30:02,2026-01-28T01:48:05,318.05,5.3,0.20896,0.20786,-0.48,Stop Loss достигнут (0.21),0.0,0.0
AUCTION/USDT:USDT,long,2026-01-27T14:46:07,2026-01-28T00:01:34,555.45,9.26,6.127,6.396,4.39,Take Profit достигнут (6.31),45.6,25.0
AUCTION/USDT:USDT,long,2026-01-27T14:47:15,2026-01-28T00:01:33,554.3,9.24,6.127,6.384,4.2,Take Profit достигнут (6.31),0.0,0.0
AXS/USDT:USDT,long,2026-01-27T23:46:51,2026-01-28T00:01:15,14.4,0.24,2.599,2.557,-1.62,Stop Loss достигнут (2.57),92.0,27.0
AXS/USDT:USDT,long,2026-01-27T23:54:48,2026-01-28T00:01:14,6.43,0.11,2.599,2.561,-1.46,Stop Loss достигнут (2.57),0.0,0.0
ENSO/USDT:USDT,long,2026-01-27T22:36:34,2026-01-27T23:54:56,78.37,1.31,1.3867,1.3617,-1.81,Stop Loss достигнут (1.37),92.0,25.0
ENSO/USDT:USDT,long,2026-01-27T22:36:56,2026-01-27T23:54:53,77.95,1.3,1.3867,1.3619,-1.79,Stop Loss достигнут (1.37),0.0,0.0
ZEC/USDT:USDT,long,2026-01-27T20:30:57,2026-01-27T23:28:25,177.47,2.96,402.23,398.66,0.53,Stop Loss достигнут (399.91),0.0,0.0
ZEC/USDT:USDT,long,2026-01-27T23:28:10,2026-01-27T23:28:14,0.07,0.0,402.23,398.66,0.53,Stop Loss достигнут (399.91),0.0,0.0
LTC/USDT:USDT,long,2026-01-27T19:46:49,2026-01-27T22:37:21,170.53,2.84,69.66,70.21,0.79,Take Profit достигнут (70.17),92.0,36.0
LTC/USDT:USDT,long,2026-01-27T19:47:13,2026-01-27T22:37:18,170.08,2.83,69.66,70.21,0.79,Take Profit достигнут (70.17),0.0,0.0
SHIB/USDT:USDT,short,2026-01-27T21:44:45,2026-01-27T22:01:50,17.08,0.28,7.816e-06,7.835e-06,-0.25,Stop Loss достигнут (0.00),45.6,23.0
SHIB/USDT:USDT,short,2026-01-27T21:45:39,2026-01-27T22:01:48,16.15,0.27,7.816e-06,7.835e-06,-0.25,Stop Loss достигнут (0.00),0.0,0.0
DOT/USDT:USDT,long,2026-01-27T20:23:01,2026-01-27T21:45:46,82.75,1.38,1.889,1.869,-1.06,Stop Loss достигнут (1.88),69.185,16.0
DOT/USDT:USDT,long,2026-01-27T20:23:51,2026-01-27T21:29:27,65.6,1.09,1.893,1.88,-0.48,Stop Loss достигнут (1.88),0.0,0.0
SHIB/USDT:USDT,long,2026-01-27T20:29:35,2026-01-27T21:29:23,59.8,1.0,7.886e-06,7.843e-06,-0.55,Stop Loss достигнут (0.00),92.0,19.0
DOT/USDT:USDT,long,2026-01-27T20:30:40,2026-01-27T21:29:20,58.67,0.98,1.893,1.879,-0.53,Stop Loss достигнут (1.88),0.0,0.0
NCCOSILVER2USD/USDT:USDT,long,2026-01-27T21:10:28,2026-01-27T21:10:46,0.3,0.01,11219.5,11219.5,0.0,Take Profit достигнут (11208.50),92.0,20.0
NCCOSILVER2USD/USDT:USDT,long,2026-01-27T21:10:40,2026-01-27T21:10:44,0.07,0.0,11219.5,11219.5,0.0,Take Profit достигнут (11208.50),0.0,0.0
SHIB/USDT:USDT,long,2026-01-27T20:29:48,2026-01-27T20:36:32,6.73,0.11,7.865e-06,7.865e-06,-0.27,Take Profit достигнут (0.00),0.0,0.0
SHIB/USDT:USDT,short,2026-01-27T20:36:17,2026-01-27T20:36:23,0.1,0.0,7.865e-06,7.865e-06,-0.27,Stop Loss достигнут (0.00),0.0,0.0
NCCOSILVER2USD/USDT:USDT,long,2026-01-27T20:12:19,2026-01-27T20:33:45,21.43,0.36,11126.0,11006.3,-1.08,Stop Loss достигнут (11015.19),65.46625,15.0
NCCOSILVER2USD/USDT:USDT,long,2026-01-27T20:12:51,2026-01-27T20:33:43,20.87,0.35,11126.0,11011.7,-1.03,Stop Loss достигнут (11015.19),0.0,0.0
